breakthrough_date,breakthrough_price,breakthrough_ratio,final_gain,ma120,success,ts_code,volume_ratio
20240927,12.3,8.451,-3.17,11.34,False,sh603885,3.1728
20250819,109.0,3.5645,7.98,105.25,False,sh688332,2.0861
20240830,5.95,1.3222,0.84,5.87,False,sh600073,3.8334
20240926,79.97,0.1774,5.94,79.83,False,sh600309,1.8035
20250624,29.74,0.6805,4.61,29.54,False,sh688181,0.8601
20250624,53.66,0.5402,7.27,53.37,False,sh688048,1.2593
20251113,37.84,3.583,-5.44,36.53,False,sh603130,0.9202
20260121,14.12,0.2871,0.85,14.08,False,sh605208,0.9509
20250929,11.94,0.1047,-1.34,11.93,False,sh603700,0.6794
20240927,16.87,2.0841,-0.18,16.53,False,sh601168,1.1154
20240925,4.15,2.0011,7.23,4.07,False,sh600539,1.0301
20250905,53.77,3.0011,2.25,52.2,False,sh603267,0.7677
20240930,18.64,8.8525,-12.77,17.12,False,sh600197,4.3966
20240930,8.75,8.1072,-1.83,8.1,False,sh603686,4.6574
20250624,47.12,1.5238,0.02,46.41,False,sh688065,1.0918
20250729,32.79,1.7974,-1.19,32.21,False,sh605111,1.7684
20240730,0.26,0.2064,-1.52,0.26,False,sh900918,8.6057
20240816,10.85,2.1974,-0.74,10.62,False,sh603701,3.6435
20240919,4.1,0.6794,32.44,4.07,True,sh600643,1.9227
20240926,2.92,0.8787,5.14,2.89,False,sh601212,1.7845
20250630,27.35,1.2429,-1.86,27.01,False,sh688298,1.6498
20250711,281.46,5.231,4.62,267.47,False,sh688502,1.4881
