ts_code,breakthrough_date,breakthrough_price,ma120_at_breakthrough,held_p0,held_ma120,held_p0_days,held_ma120_days,min_deviation_p0,min_deviation_ma,broke_p0_count,broke_ma_count,max_gain,final_gain,success
sz000059,20240927,4.39,4.38,False,False,106,73,-5.69,-6.01,14,47,32.33,10.25,False
sz300910,20250806,57.14,56.23,False,False,81,70,-8.42,-9.63,39,50,12.18,-1.96,False
sz301608,20250811,83.48,82.51,False,False,110,87,-4.39,-8.47,10,33,25.37,11.02,False
sz301192,20251211,30.38,30.09,False,False,29,15,-18.07,-21.9,52,66,10.96,-14.25,False
sz000669,20240927,1.43,1.41,False,False,113,114,-2.1,-3.71,7,6,58.74,29.37,True
sz399400,20240926,3127.31,3066.53,True,False,120,118,0.0,-0.91,0,2,20.8,10.9,False
sz300426,20240808,8.19,7.87,False,False,87,90,-19.17,-13.51,33,30,62.27,30.77,True
sz300141,20240822,7.84,7.82,False,False,102,96,-6.51,-6.16,18,24,43.11,17.22,False
sz001696,20250314,23.26,23.01,False,False,49,52,-24.29,-27.19,71,68,15.99,2.49,False
sz001277,20251112,44.4,43.21,False,False,2,26,-23.87,-15.45,100,76,10.0,-20.27,False
sz002187,20240926,4.9,4.51,False,True,114,120,-2.04,0.0,6,0,104.69,39.59,True
sz301038,20251126,25.42,24.98,False,False,1,0,-22.15,-18.73,91,92,1.3,-17.62,False
sz002833,20240930,17.39,16.88,False,False,44,94,-13.51,-9.98,76,26,7.94,3.39,False
sz002334,20240930,6.72,6.13,False,True,106,120,-7.89,0.0,14,0,56.54,27.53,True
sz300713,20251020,18.26,17.82,False,False,38,43,-17.2,-16.05,81,76,9.47,-7.67,False
sz300468,20240731,8.47,8.42,False,False,105,97,-9.92,-9.81,15,23,236.48,78.28,True
sz001239,20250630,14.94,14.85,False,False,119,93,-0.07,-6.44,1,27,41.03,8.84,False
sz301076,20250624,26.04,24.74,False,False,116,101,-2.04,-9.0,4,19,140.79,62.83,True
sz002653,20240806,27.94,27.76,False,False,117,96,-1.68,-8.14,3,24,40.88,14.17,False
sz000713,20240925,5.82,5.82,True,False,120,114,0.0,-2.49,0,6,42.78,20.1,True
sz002200,20240930,4.92,4.79,False,False,79,74,-8.99,-9.39,41,46,17.66,1.28,False
sz000089,20240801,6.53,6.47,False,False,78,79,-11.18,-9.95,42,41,10.87,3.68,False
sz002906,20250624,32.86,32.21,False,False,16,30,-14.49,-11.02,104,90,6.21,-8.67,False
sz002880,20240930,28.46,27.64,False,False,33,53,-10.75,-7.0,87,67,4.22,-3.27,False
sz002767,20240827,12.22,12.2,False,False,101,97,-10.89,-9.53,19,23,56.32,25.05,True
sz300669,20260121,31.65,30.28,False,False,39,53,-7.05,-3.23,15,1,20.95,4.11,False
sz300288,20240924,11.46,11.45,True,False,120,112,0.0,-2.67,0,8,67.74,33.26,True
sz000973,20240816,3.82,3.81,False,False,96,97,-7.08,-6.77,24,23,164.09,90.17,True
sz300512,20240816,6.08,6.04,False,False,102,95,-10.36,-8.4,18,25,33.55,26.31,True
sz002948,20250923,4.84,4.81,False,False,70,61,-12.81,-13.23,50,59,17.36,7.02,False
sz300626,20240826,7.5,7.44,False,False,118,106,-3.6,-5.9,2,14,54.74,33.28,True
sz300075,20240930,16.1,14.03,False,False,102,96,-9.44,-7.61,18,24,47.83,8.32,False
sz300322,20240814,10.84,9.16,False,False,92,103,-17.71,-5.63,28,17,72.88,27.21,True
sz000910,20240925,6.37,6.2,True,False,120,114,0.0,-0.38,0,6,39.09,23.86,True
sz300824,20251027,12.86,12.48,False,False,5,15,-24.88,-17.87,109,99,2.02,-19.91,False
sz002119,20240806,11.12,11.08,False,False,90,88,-9.08,-9.11,30,32,76.89,71.04,True
sz399663,20240927,1631.98,1578.98,True,True,120,120,0.0,0.0,0,0,12.97,8.63,False
sz300645,20240920,12.93,12.28,False,False,118,102,-2.09,-7.6,2,18,50.73,14.77,False
