benchmark_gain,breakthrough_date,breakthrough_price,final_gain,rs_diff,stock_gain,success,ts_code
-4.05,20240930,6.58,5.32,23.23,5.32,False,sh600039
5.69,20240927,2.55,-3.53,1.97,-3.53,False,sh600844
5.69,20240927,8.22,7.3,15.82,7.3,False,sh603906
5.69,20240927,44.08,0.32,21.6,0.32,False,sh603728
0.33,20250117,0.11,-4.46,-4.93,-4.46,False,sh900952
5.51,20241101,3.52,18.18,28.71,18.18,False,sh600193
-0.42,20240730,4.22,-6.16,21.63,-6.16,False,sh600609
10.03,20240926,3.6,11.68,-11.73,11.68,False,sh600320
0.0,20260108,34.5,3.19,5.31,3.19,False,sh688061
-0.22,20250625,17.4,2.0,6.71,2.0,False,sh688355
-0.87,20240816,3.77,-0.53,37.45,-0.53,False,sh600869
-4.05,20240930,2.95,-6.78,8.58,-6.78,False,sh600387
5.69,20240927,7.93,0.25,2.61,0.25,False,sh600596
0.0,20250716,34.2,-3.65,-2.92,-3.65,False,sh603666
0.0,20250724,34.0,12.15,7.29,12.15,False,sh688699
0.0,20251110,17.52,-0.29,-9.08,-0.29,False,sh605077
0.0,20251105,63.29,3.07,-13.88,3.07,False,sh688103
5.69,20240927,3.61,6.09,-1.46,6.09,False,sh603980
-2.13,20240801,10.36,-3.57,5.6,-3.57,False,sh600176
-4.05,20240930,16.53,-6.11,22.36,-6.11,False,sh603667
-4.05,20240930,2.83,-1.41,13.9,-1.41,False,sh600725
0.82,20250624,19.1,0.47,14.23,0.47,False,sh688733
10.03,20240926,5.29,7.75,-5.34,7.75,False,sh601997
5.69,20240927,3.94,-6.35,-3.96,-6.35,False,sh600115
10.03,20240926,6.43,7.93,-6.93,7.93,False,sh600746
0.0,20260114,15.44,22.09,12.05,22.09,True,sh603056
0.0,20251021,48.17,9.8,-5.12,9.8,False,sh688580
0.0,20260126,9.8,-3.67,4.48,-3.67,False,sh601022
5.69,20240927,13.01,0.38,6.6,0.38,False,sh600508
-2.35,20240731,4.7,4.04,13.52,4.04,False,sh600812
5.69,20240927,31.21,-1.03,15.78,-1.03,False,sh603899
0.02,20240806,7.13,-1.54,-0.11,-1.54,False,sh601117
-0.67,20240807,8.91,-2.69,-4.4,-2.69,False,sh600021
0.0,20251024,21.15,7.94,-6.58,7.94,False,sh688360
12.53,20240920,2.36,27.54,-6.96,27.54,True,sh600376
-2.24,20240904,4.28,-0.23,-3.68,-0.23,False,sh600525
0.0,20251212,45.84,-4.32,-6.87,-4.32,False,sh688550
0.4,20241218,7.95,-11.19,-6.05,-11.19,False,sh600611
5.69,20240927,18.32,-1.53,10.74,-1.53,False,sh603100
10.03,20240926,0.49,11.11,-12.03,11.11,False,sh900904
-4.05,20240930,4.48,-3.79,20.42,-3.79,False,sh603429
0.0,20250908,27.66,-1.27,-4.16,-1.27,False,sh603235
-2.35,20240731,7.95,-7.3,-3.13,-7.3,False,sh603936
5.69,20240927,35.19,-1.22,0.58,-1.22,False,sh600009
-4.05,20240930,7.37,-10.44,8.5,-10.44,False,sh603718
10.03,20240926,9.35,5.03,-3.89,5.03,False,sh600793
0.0,20250721,44.19,2.2,9.64,2.2,False,sh688348
0.0,20251124,36.05,1.64,-15.12,1.64,False,sh603757
0.0,20250722,10.32,-1.16,10.26,-1.16,False,sh688306
0.0,20250708,104.27,-3.14,8.88,-3.14,False,sh688032
-2.69,20240830,18.17,-2.2,-12.99,-2.2,False,sh600520
0.0,20250723,137.38,6.88,-4.49,6.88,False,sh688536
-2.35,20240731,18.36,-1.31,11.39,-1.31,False,sh600990
5.69,20240927,5.03,0.4,6.3,0.4,False,sh603166
10.03,20240926,3.59,11.98,-9.4,11.98,False,sh600310
0.0,20251222,39.98,-0.45,-21.0,-0.45,False,sh688051
-2.23,20240906,12.18,-0.33,-12.36,-0.33,False,sh601688
0.0,20260120,59.45,0.42,15.12,0.42,False,sh603400
0.0,20251215,101.12,1.38,3.18,1.38,False,sh688578
-8.32,20241008,9.38,-11.3,22.73,-11.3,False,sh603955
5.69,20240927,5.61,0.0,5.33,0.0,False,sh603128
14.62,20240925,9.89,17.3,-4.32,17.3,False,sh600639
0.0,20250821,9.28,-1.4,-1.59,-1.4,False,sh600025
-4.05,20240930,8.72,-5.16,12.56,-5.16,False,sh600097
0.0,20251031,21.21,-3.91,5.46,-3.91,False,sh603367
0.0,20250916,11.72,-5.89,-4.48,-5.89,False,sh603329
0.0,20260206,26.83,5.03,-2.26,5.03,False,sh688251
5.69,20240927,2.92,1.37,4.19,1.37,False,sh603601
12.53,20240920,1.28,16.41,-11.78,16.41,False,sh600743
-4.05,20240930,3.81,-6.04,23.83,-6.04,False,sh600110
0.0,20250701,23.2,3.19,4.84,3.19,False,sh605011
0.0,20250819,26.7,-3.03,11.16,-3.03,False,sh688165
-4.05,20240930,26.66,-8.51,19.23,-8.51,False,sh603031
0.0,20250801,37.89,2.4,15.52,2.4,False,sh603283
0.0,20260112,32.09,-2.09,29.4,-2.09,False,sh688232
0.82,20250624,17.71,0.06,-0.71,0.06,False,sh688106
-2.13,20240801,2.78,0.36,7.85,0.36,False,sh601616
0.0,20251113,2.85,-9.82,21.79,-9.82,False,sh603557
-4.05,20240930,4.18,-1.2,7.44,-1.2,False,sh600711
0.0,20250728,9.22,-4.45,7.46,-4.45,False,sh605377
5.69,20240927,21.49,-1.02,15.51,-1.02,False,sh603000
0.0,20260113,49.6,-7.58,26.05,-7.58,False,sh688137
0.02,20240806,42.71,-0.56,12.91,-0.56,False,sh600276
0.02,20240806,11.09,0.72,8.47,0.72,False,sh603567
5.69,20240927,54.07,-4.2,32.79,-4.2,False,sh603833
0.0,20251219,5.74,-2.09,-1.88,-2.09,False,sh603335
5.69,20240927,7.95,-6.92,10.22,-6.92,False,sh600238
21.89,20240924,4.99,21.86,-5.32,21.86,True,sh603999
5.69,20240927,11.61,4.31,5.69,4.31,False,sh603319
5.69,20240927,1.76,0.57,9.05,0.57,False,sh600408
0.0,20260121,49.62,5.46,6.3,5.46,False,sh603062
5.69,20240927,8.97,3.23,11.67,3.23,False,sh600392
0.0,20260105,30.93,16.55,-8.76,16.55,False,sh688260
0.0,20250902,8.85,-3.84,-3.17,-3.84,False,sh601825
-0.22,20250625,35.25,1.93,3.11,1.93,False,sh688433
-4.05,20240930,11.12,-4.86,12.54,-4.86,False,sh603630
5.69,20240927,3.39,11.21,1.64,11.21,False,sh600121
21.89,20240924,10.82,40.11,3.07,40.11,True,sh600446
0.0,20251020,14.0,0.29,-14.69,0.29,False,sh688707
-0.87,20240816,5.8,1.9,2.59,1.9,False,sh600015
10.03,20240926,1.92,9.38,1.43,9.38,False,sh600868
-0.22,20250625,5.56,1.26,2.05,1.26,False,sh603682
-4.05,20240930,4.77,-7.12,14.32,-7.12,False,sh600572
0.0,20250708,27.15,4.35,1.34,4.35,False,sh688633
-2.23,20240906,5.5,-6.72,-6.55,-6.72,False,sh600826
0.82,20250624,14.74,1.24,1.2,1.24,False,sh603201
10.03,20240926,2.57,8.95,-1.12,8.95,False,sh600496
0.0,20250701,36.81,-6.41,2.91,-6.41,False,sh688337
-0.22,20250625,18.17,2.75,2.59,2.75,False,sh605177
5.69,20240927,12.3,-3.17,14.99,-3.17,False,sh603885
0.0,20250819,109.0,7.98,8.27,7.98,False,sh688332
-2.69,20240830,5.95,0.84,-17.1,0.84,False,sh600073
10.03,20240926,79.97,5.94,4.23,5.94,False,sh600309
0.82,20250624,29.74,4.61,0.51,4.61,False,sh688181
0.82,20250624,53.66,7.27,-0.61,7.27,False,sh688048
0.0,20251113,37.84,-5.44,-20.99,-5.44,False,sh603130
0.0,20260121,14.12,0.85,10.05,0.85,False,sh605208
0.0,20250929,11.94,-1.34,-6.57,-1.34,False,sh603700
5.69,20240927,16.87,-0.18,8.18,-0.18,False,sh601168
14.62,20240925,4.15,7.23,1.4,7.23,False,sh600539
0.0,20250905,53.77,2.25,-4.78,2.25,False,sh603267
-4.05,20240930,18.64,-12.77,25.24,-12.77,False,sh600197
-4.05,20240930,8.75,-1.83,12.02,-1.83,False,sh603686
0.82,20250624,47.12,0.02,0.78,0.02,False,sh688065
0.0,20250729,32.79,-1.19,6.29,-1.19,False,sh605111
-0.42,20240730,0.26,-1.52,10.19,-1.52,False,sh900918
-0.87,20240816,10.85,-0.74,16.47,-0.74,False,sh603701
9.68,20240919,4.1,32.44,-16.06,32.44,True,sh600643
10.03,20240926,2.92,5.14,1.22,5.14,False,sh601212
0.0,20250630,27.35,-1.86,8.75,-1.86,False,sh688298
0.0,20250711,281.46,4.62,13.1,4.62,False,sh688502
0.0,20250701,8.23,-0.73,-0.24,-0.73,False,sh600916
21.89,20240924,15.02,38.95,-8.43,38.95,True,sh601788
0.0,20251010,21.64,-1.94,1.6,-1.94,False,sh688151
