,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
4843,易美味,SMPL,US,13.36,-,6.08%,-1.41/-,-,7.57,-,-,-,-,12.09亿,-1.34亿,食品,4.02%,98.41%,0.811
4844,NuScale Power,SMR,US,11.96,-,12.66%,-2.17/-,-,-5.97,-,-,-,-,41.04亿,-3.56亿,独立电力生产商,13.21%,40.49%,3.51
4845,SmartRent,SMRT,US,1.35,-,4.35%,-0.32/-,-,-2.17,-,-,NASDAQ,-,2.60亿,-6055.80万,软件,0.27%,59.63%,1.12
4846,Smith Micro Software,SMSI,US,0.788,-,10.71%,-1.46/-,-,5.49,-,-,NASDAQ,-,2018.07万,-3009.60万,软件,0.46%,7.16%,1.1
4847,先科电子,SMTC,US,109.79,-,7.44%,-0.46/-,-,4.22,-,-,NASDAQ,-,102.23亿,-4037.60万,半导体产品与设备,2.89%,110.70%,18.6
4848,Sanara,SMTI,US,19.22,-,4.18%,-4.36/-,-,0.47,-,-,-,-,1.76亿,-3756.26万,医疗保健设备,0.84%,21.71%,29.66
4849,SmartKem,SMTK,US,0.271,-,13.60%,-1.29/-,-,8.4,-,-,-,-,574.60万,-1050.90万,半导体产品与设备,7.22%,4.87%,-
4850,Similarweb,SMWB,US,2.59,-,5.37%,-0.39/-,-,0,-,-,-,-,2.27亿,-3293.60万,软件,0.95%,66.42%,9.74
4851,SMX,SMX,US,2.08,-,50.00%,-0.82/-,-,-40.91,-,-,-,-,989.96万,-1.69亿,专业服务,2.22%,0.16%,1.12
4852,Solarmax Technology,SMXT,US,0.6,-,5.03%,-0.13/-,-,0.67,-,-,-,-,3414.39万,-632.54万,电子设备与仪器,0.12%,2.58%,-
4853,SharkNinja,SN,US,115.74,-,2.23%,4.97/23.31,-,0.92,-,-,NYSE,-,163.47亿,7.01亿,耐用消费品,1.18%,57.01%,6.11
4854,实耐宝,SNA,US,378.42,-,4.26%,4.76/19.15,-,-3.16,-,-,NYSE,-,196.03亿,2.47亿,机械制造,1.16%,93.37%,3.29
4855,蜗牛游戏,SNAL,US,0.626,-,10.36%,-0.73/-,-,-8.61,-,-,-,-,2668.14万,-2723.51万,娱乐,13.29%,6.89%,-
4856,Snap,SNAP,US,5.65,https://www.snap.com,3.77%,-0.27/-,Snapchat (快拍)是由斯坦福大学两位学生开发的一款“阅后即焚”照片分享应用。用户可以通过该应用拍照、录制视频、添加文字和图画，并将他们发送到自己在该应用上的好友列表。该应用最主要的功能是所有照片都有一个1到10秒的生命期，用户拍了照片发送给好友后，这些照片会根据用户所预先设定的时间按时自动销毁。,1.44,S1/F1,1-310-3993339,NYSE,-,95.43亿,-4.60亿,软件,2.98%,53.15%,4.18
4857,Sleep Number,SNBR,US,2.36,-,9.35%,-5.77/-,-,-4.07,-,-,-,-,5437.68万,-1.32亿,耐用消费品,4.20%,79.04%,-
4858,Sun Country Airlines,SNCY,US,16.4,-,3.30%,0.99/16.83,-,0.37,-,-,-,-,8.89亿,5280.90万,航空公司,1.20%,115.00%,1.42
4859,Smart Sand,SND,US,5.24,-,3.98%,0.03/167.5,-,-0.76,-,-,NASDAQ,-,2.25亿,134.50万,金属与采矿,0.65%,32.30%,0.94
4860,Sonida Senior Living,SNDA,US,36.03,-,5.16%,-4.22/-,-,2.5,-,-,-,-,17.07亿,-7641.60万,医疗保健服务,0.90%,31.04%,0.0000
4861,闪迪,SNDK,US,989.9,http://www.sandisk.com/,5.91%,6.27/-,SanDisk Corp (NASDAQ：SNDK)是知名的移动设备闪存制造商。,6.16,-,-,NASDAQ,-,1461.10亿,9.15亿,电脑与外围设备,8.39%,81.80%,14.31
4862,SNDL,SNDL,US,1.51,-,5.23%,-0.04/-,-,-1.31,-,-,-,-,3.91亿,-1150.38万,制药,0.88%,22.00%,0.487
4863,Schneider National,SNDR,US,30.28,-,1.76%,0.59/51.25,-,0.5,-,-,NYSE,-,53.09亿,1.04亿,公路与铁路,1.89%,74.54%,1.76
