ts_code,breakthrough_date,breakthrough_price,max_drawdown,max_gain,success,final_gain
sh688349,20250724,25.3,2.41,12.65,False,11.11
sh600792,20240930,3.62,8.29,9.67,False,5.25
sh688280,20251024,7.94,3.53,14.74,False,-2.9
sh600008,20240902,2.66,5.64,18.05,False,9.77
sh600638,20240731,4.44,19.39,0.0,False,-18.27
sh600462,20240903,1.52,17.11,5.26,False,-16.45
sh688579,20251021,11.48,3.66,9.06,False,1.57
sh601689,20240926,39.43,0.0,24.47,True,9.08
sh688050,20250901,81.13,11.67,1.57,False,-9.68
sh601113,20240930,3.5,8.86,4.29,False,3.14
sh603167,20240930,7.31,8.34,3.97,False,3.56
sh688399,20260204,71.46,21.63,0.0,False,-9.1
sh605577,20250711,13.09,3.44,2.14,False,1.99
sh600742,20240926,7.36,0.0,18.75,False,12.36
sh688403,20251124,13.62,1.03,30.18,True,30.18
sh603052,20251027,29.26,6.63,29.22,True,-1.2
sh601069,20240801,11.92,10.32,2.1,False,-7.72
sh603787,20240902,10.32,10.37,13.86,False,3.78
sh600096,20240731,18.0,3.72,7.33,False,7.33
sh603519,20240927,9.8,1.12,19.39,False,13.37
sh601877,20240925,18.78,0.69,25.4,True,11.66
sh688080,20250804,46.9,0.32,28.53,True,23.37
sh601838,20251014,18.23,8.39,2.3,False,-6.03
sh603803,20240930,6.58,5.93,13.98,False,8.36
sh600415,20240826,7.76,0.39,10.18,False,10.18
sh688233,20260401,70.43,5.3,7.17,False,7.17
sh603282,20260325,20.3,3.55,4.68,False,4.24
sh603528,20240926,6.37,0.0,27.47,True,26.37
sh600239,20240920,2.0,1.5,64.0,True,35.5
sh603186,20240819,24.15,14.29,3.31,False,-13.79
sh603566,20241008,14.09,17.89,0.0,False,-10.36
sh601808,20241008,17.14,14.24,0.0,False,-9.8
sh688136,20250905,42.27,11.4,1.28,False,-7.17
sh600213,20240812,6.13,0.0,3.75,False,3.75
sh603001,20240926,4.22,0.0,35.31,True,28.44
sh688155,20251124,58.91,5.94,4.02,False,-0.83
sh600120,20240731,3.46,4.33,0.29,False,-2.6
sh600773,20240806,11.36,9.15,1.41,False,-4.05
sh601059,20251218,18.23,2.91,0.0,False,-2.74
sh688261,20250630,41.25,3.73,21.94,True,21.94
sh600894,20240731,9.12,11.52,8.67,False,-1.76
sh603063,20250714,31.89,8.31,26.37,True,26.37
sh000148,20240926,7440.93,0.0,19.67,False,9.14
sh603998,20240731,10.2,0.88,5.78,False,1.76
sh600827,20240925,7.74,0.0,28.02,True,17.04
sh603118,20240826,7.74,21.06,0.0,False,-9.56
sh688548,20250813,11.42,9.98,0.0,False,-6.83
sh600200,20240927,9.59,0.0,15.12,False,1.98
sh600573,20240731,9.22,0.76,4.77,False,1.08
sh603683,20260113,27.55,10.53,3.45,False,-9.62
sh601216,20240731,3.6,4.72,0.83,False,-4.17
sh688798,20250729,73.0,3.42,31.12,True,31.12
sh601088,20240812,36.06,7.43,6.66,False,-5.77
sh603881,20240912,10.95,2.51,33.55,True,23.46
sh688336,20251015,52.97,0.08,48.54,True,29.33
sh600624,20240927,3.61,1.66,95.01,True,75.62
sh603387,20250710,8.1,0.62,8.27,False,6.05
sh603880,20250924,6.12,4.41,7.03,False,5.23
sh600497,20240731,5.24,7.44,0.57,False,-5.53
sh688378,20250717,17.25,0.7,12.99,False,11.3
sh601089,20251126,24.53,7.3,5.42,False,-0.29
sh600988,20240923,18.4,4.51,10.16,False,2.45
sh600072,20240930,14.47,10.85,4.7,False,-2.63
sh603382,20260105,35.19,12.56,0.0,False,-12.53
sh688333,20250703,65.99,10.99,0.0,False,-10.44
sh600515,20240926,3.42,5.86,13.47,False,2.93
