ts_code,trade_date,close,pe,pb,ps,total_mv,circ_mv
000001.SZ,20021114,12.7,61.4174,6.0894,9.5139,2471194.1292,1789889.6956
000001.SZ,20021113,13.0,62.8682,6.2332,9.7386,2529568.7937,1832170.5545
000001.SZ,20021112,12.94,62.5781,6.2045,9.6937,2517893.8608,1823714.3827
000001.SZ,20021111,13.0,62.8682,6.2332,9.7386,2529568.7937,1832170.5545
000001.SZ,20021108,13.28,64.2223,6.3675,9.9484,2584051.8139,1871632.6895
000001.SZ,20021107,13.7,66.2534,6.5689,10.263,2665776.3441,1930825.8921
000001.SZ,20021106,13.51,65.3346,6.4778,10.1207,2628805.7233,1904048.0147
000001.SZ,20021105,13.58,65.6731,6.5113,10.1731,2642426.4783,1913913.5485
000001.SZ,20021104,13.36,64.6092,6.4059,10.0083,2599618.3911,1882907.5852
000001.SZ,20021101,12.91,62.433,6.1901,9.6712,2512056.3944,1819486.2968
000001.SZ,20021031,12.95,62.6264,6.2093,9.7012,2519839.683,1825123.7447
000001.SZ,20021030,13.02,62.965,6.2428,9.7536,2533460.438,1834989.2784
000001.SZ,20021029,13.01,62.9166,6.238,9.7461,2531514.6158,1833579.9165
000001.SZ,20021028,12.87,62.2395,6.1709,9.6412,2504273.1058,1813848.849
